cell_id,celltype,dataset
[359] Kidney_1cell_359.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[360] Kidney_1cell_360.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[361] Kidney_1cell_361.htrms.PG.Quantity,Proximal straight tubule,kidney768
[362] Kidney_1cell_362.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[363] Kidney_1cell_363.htrms.PG.Quantity,Proximal straight tubule,kidney768
[364] Kidney_1cell_364.htrms.PG.Quantity,CNT,kidney768
[365] Kidney_1cell_365.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[366] Kidney_1cell_366.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[367] Kidney_1cell_367.htrms.PG.Quantity,CNT,kidney768
[368] Kidney_1cell_368.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[369] Kidney_1cell_369.htrms.PG.Quantity,Proximal straight tubule,kidney768
[370] Kidney_1cell_370.htrms.PG.Quantity,Proximal straight tubule,kidney768
[371] Kidney_1cell_371.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[372] Kidney_1cell_372.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[373] Kidney_1cell_373.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[374] Kidney_1cell_374.htrms.PG.Quantity,Proximal straight tubule,kidney768
[375] Kidney_1cell_375.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[376] Kidney_1cell_376.htrms.PG.Quantity,CNT,kidney768
[377] Kidney_1cell_377.htrms.PG.Quantity,CNT,kidney768
[379] Kidney_1cell_379.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[380] Kidney_1cell_380.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[381] Kidney_1cell_381.htrms.PG.Quantity,Proximal straight tubule,kidney768
[382] Kidney_1cell_382.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[383] Kidney_1cell_383.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[384] Kidney_1cell_384.htrms.PG.Quantity,Descending vasa recta,kidney768
[385] Kidney_1cell_385.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[386] Kidney_1cell_386.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[387] Kidney_1cell_387.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[388] Kidney_1cell_388.htrms.PG.Quantity,Descending vasa recta,kidney768
[389] Kidney_1cell_389.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[390] Kidney_1cell_390.htrms.PG.Quantity,Descending vasa recta,kidney768
[391] Kidney_1cell_391.htrms.PG.Quantity,Unknown,kidney768
[392] Kidney_1cell_392.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[393] Kidney_1cell_393.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[394] Kidney_1cell_394.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[395] Kidney_1cell_395.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[396] Kidney_1cell_396.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[397] Kidney_1cell_397.htrms.PG.Quantity,CNT,kidney768
[398] Kidney_1cell_398.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[399] Kidney_1cell_399.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[400] Kidney_1cell_400.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[401] Kidney_1cell_401.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[402] Kidney_1cell_402.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[403] Kidney_1cell_403.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[404] Kidney_1cell_404.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[405] Kidney_1cell_405.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[406] Kidney_1cell_406.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[407] Kidney_1cell_407.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[408] Kidney_1cell_408.htrms.PG.Quantity,Descending vasa recta,kidney768
[409] Kidney_1cell_409.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[410] Kidney_1cell_410.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[411] Kidney_1cell_411.htrms.PG.Quantity,Proximal straight tubule,kidney768
[412] Kidney_1cell_412.htrms.PG.Quantity,CNT,kidney768
[413] Kidney_1cell_413.htrms.PG.Quantity,Proximal straight tubule,kidney768
[414] Kidney_1cell_414.htrms.PG.Quantity,Unknown,kidney768
[415] Kidney_1cell_415.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[416] Kidney_1cell_416.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[417] Kidney_1cell_417.htrms.PG.Quantity,CNT,kidney768
[418] Kidney_1cell_418.htrms.PG.Quantity,CNT,kidney768
[419] Kidney_1cell_419.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[420] Kidney_1cell_420.htrms.PG.Quantity,Descending vasa recta,kidney768
[421] Kidney_1cell_421.htrms.PG.Quantity,Proximal straight tubule,kidney768
[422] Kidney_1cell_422.htrms.PG.Quantity,Proximal straight tubule,kidney768
[423] Kidney_1cell_423.htrms.PG.Quantity,CNT,kidney768
[424] Kidney_1cell_424.htrms.PG.Quantity,CNT,kidney768
[425] Kidney_1cell_425.htrms.PG.Quantity,DCT2,kidney768
[426] Kidney_1cell_426.htrms.PG.Quantity,Proximal straight tubule,kidney768
[427] Kidney_1cell_427.htrms.PG.Quantity,Unknown,kidney768
[428] Kidney_1cell_428.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[429] Kidney_1cell_429.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[430] Kidney_1cell_430.htrms.PG.Quantity,DCT2,kidney768
[431] Kidney_1cell_431.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[432] Kidney_1cell_432.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[433] Kidney_1cell_433.htrms.PG.Quantity,CNT,kidney768
[434] Kidney_1cell_434.htrms.PG.Quantity,Unknown,kidney768
[435] Kidney_1cell_435.htrms.PG.Quantity,Descending vasa recta,kidney768
[436] Kidney_1cell_436.htrms.PG.Quantity,Proximal straight tubule,kidney768
[437] Kidney_1cell_437.htrms.PG.Quantity,Macula densa,kidney768
[438] Kidney_1cell_438.htrms.PG.Quantity,Proximal straight tubule,kidney768
[439] Kidney_1cell_439.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[440] Kidney_1cell_440.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[441] Kidney_1cell_441.htrms.PG.Quantity,CNT,kidney768
[443] Kidney_1cell_443.htrms.PG.Quantity,Proximal straight tubule,kidney768
[444] Kidney_1cell_444.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[445] Kidney_1cell_445.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[446] Kidney_1cell_446.htrms.PG.Quantity,Macula densa,kidney768
[447] Kidney_1cell_447.htrms.PG.Quantity,Unknown,kidney768
[448] Kidney_1cell_448.htrms.PG.Quantity,Descending vasa recta,kidney768
[449] Kidney_1cell_449.htrms.PG.Quantity,CNT,kidney768
[450] Kidney_1cell_450.htrms.PG.Quantity,CNT,kidney768
[452] Kidney_1cell_452.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[453] Kidney_1cell_453.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[454] Kidney_1cell_454.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[455] Kidney_1cell_455.htrms.PG.Quantity,DCT2,kidney768
[456] Kidney_1cell_456.htrms.PG.Quantity,Proximal straight tubule,kidney768
[457] Kidney_1cell_457.htrms.PG.Quantity,CNT,kidney768
[458] Kidney_1cell_458.htrms.PG.Quantity,Descending vasa recta,kidney768
[459] Kidney_1cell_459.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[461] Kidney_1cell_461.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[462] Kidney_1cell_462.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[463] Kidney_1cell_463.htrms.PG.Quantity,CNT,kidney768
[464] Kidney_1cell_464.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[465] Kidney_1cell_465.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[466] Kidney_1cell_466.htrms.PG.Quantity,Proximal straight tubule,kidney768
[468] Kidney_1cell_468.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[469] Kidney_1cell_469.htrms.PG.Quantity,CNT,kidney768
[470] Kidney_1cell_470.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[471] Kidney_1cell_471.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[472] Kidney_1cell_472.htrms.PG.Quantity,CNT,kidney768
[473] Kidney_1cell_473.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[474] Kidney_1cell_474.htrms.PG.Quantity,CNT,kidney768
[475] Kidney_1cell_475.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[476] Kidney_1cell_476.htrms.PG.Quantity,Descending vasa recta,kidney768
[477] Kidney_1cell_477.htrms.PG.Quantity,Descending vasa recta,kidney768
[478] Kidney_1cell_478.htrms.PG.Quantity,Proximal straight tubule,kidney768
[479] Kidney_1cell_479.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[480] Kidney_1cell_480.htrms.PG.Quantity,Descending vasa recta,kidney768
[481] Kidney_1cell_481.htrms.PG.Quantity,Descending vasa recta,kidney768
[482] Kidney_1cell_482.htrms.PG.Quantity,Descending vasa recta,kidney768
[483] Kidney_1cell_483.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[484] Kidney_1cell_484.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[485] Kidney_1cell_485.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[486] Kidney_1cell_486.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[487] Kidney_1cell_487.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[488] Kidney_1cell_488.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[491] Kidney_1cell_491.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[492] Kidney_1cell_492.htrms.PG.Quantity,CNT,kidney768
[493] Kidney_1cell_493.htrms.PG.Quantity,Descending vasa recta,kidney768
[494] Kidney_1cell_494.htrms.PG.Quantity,Unknown,kidney768
[495] Kidney_1cell_495.htrms.PG.Quantity,Proximal straight tubule,kidney768
[496] Kidney_1cell_496.htrms.PG.Quantity,Proximal straight tubule,kidney768
[497] Kidney_1cell_497.htrms.PG.Quantity,DCT2,kidney768
[498] Kidney_1cell_498.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[499] Kidney_1cell_499.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[500] Kidney_1cell_500.htrms.PG.Quantity,Macula densa,kidney768
[501] Kidney_1cell_501.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[502] Kidney_1cell_502.htrms.PG.Quantity,DCT2,kidney768
[503] Kidney_1cell_503.htrms.PG.Quantity,Proximal straight tubule,kidney768
[504] Kidney_1cell_504.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[505] Kidney_1cell_505.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[506] Kidney_1cell_506.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[507] Kidney_1cell_507.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[508] Kidney_1cell_508.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[509] Kidney_1cell_509.htrms.PG.Quantity,Descending vasa recta,kidney768
[510] Kidney_1cell_510.htrms.PG.Quantity,Proximal straight tubule,kidney768
[511] Kidney_1cell_511.htrms.PG.Quantity,Proximal straight tubule,kidney768
[512] Kidney_1cell_512.htrms.PG.Quantity,Descending vasa recta,kidney768
[513] Kidney_1cell_513.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[514] Kidney_1cell_514.htrms.PG.Quantity,CNT,kidney768
[515] Kidney_1cell_515.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[517] Kidney_1cell_517.htrms.PG.Quantity,Macula densa,kidney768
[519] Kidney_1cell_519.htrms.PG.Quantity,Proximal straight tubule,kidney768
[520] Kidney_1cell_520.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[521] Kidney_1cell_521.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[522] Kidney_1cell_522.htrms.PG.Quantity,Descending vasa recta,kidney768
[523] Kidney_1cell_523.htrms.PG.Quantity,Proximal straight tubule,kidney768
[524] Kidney_1cell_524.htrms.PG.Quantity,DCT2,kidney768
[525] Kidney_1cell_525.htrms.PG.Quantity,Proximal straight tubule,kidney768
[527] Kidney_1cell_527.htrms.PG.Quantity,Macula densa,kidney768
[528] Kidney_1cell_528.htrms.PG.Quantity,Unknown,kidney768
[529] Kidney_1cell_529.htrms.PG.Quantity,DCT2,kidney768
[530] Kidney_1cell_530.htrms.PG.Quantity,Descending vasa recta,kidney768
[531] Kidney_1cell_531.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[532] Kidney_1cell_532.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[533] Kidney_1cell_533.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[534] Kidney_1cell_534.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[535] Kidney_1cell_535.htrms.PG.Quantity,Descending vasa recta,kidney768
[536] Kidney_1cell_536.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[538] Kidney_1cell_538.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[539] Kidney_1cell_539.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[540] Kidney_1cell_540.htrms.PG.Quantity,CNT,kidney768
[541] Kidney_1cell_541.htrms.PG.Quantity,Unknown,kidney768
[542] Kidney_1cell_542.htrms.PG.Quantity,Descending vasa recta,kidney768
[544] Kidney_1cell_544.htrms.PG.Quantity,Descending vasa recta,kidney768
[545] Kidney_1cell_545.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[546] Kidney_1cell_546.htrms.PG.Quantity,Proximal straight tubule,kidney768
[547] Kidney_1cell_547.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[549] Kidney_1cell_549.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[550] Kidney_1cell_550.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[551] Kidney_1cell_551.htrms.PG.Quantity,DCT2,kidney768
[552] Kidney_1cell_552.htrms.PG.Quantity,Proximal straight tubule,kidney768
[553] Kidney_1cell_553.htrms.PG.Quantity,Macula densa,kidney768
[554] Kidney_1cell_554.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[555] Kidney_1cell_555.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[556] Kidney_1cell_556.htrms.PG.Quantity,DCT2,kidney768
[557] Kidney_1cell_557.htrms.PG.Quantity,Proximal straight tubule,kidney768
[558] Kidney_1cell_558.htrms.PG.Quantity,Proximal straight tubule,kidney768
[559] Kidney_1cell_559.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[561] Kidney_1cell_561.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[562] Kidney_1cell_562.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[563] Kidney_1cell_563.htrms.PG.Quantity,Descending vasa recta,kidney768
[564] Kidney_1cell_564.htrms.PG.Quantity,Proximal straight tubule,kidney768
[565] Kidney_1cell_565.htrms.PG.Quantity,Proximal straight tubule,kidney768
[566] Kidney_1cell_566.htrms.PG.Quantity,Macula densa,kidney768
[567] Kidney_1cell_567.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[568] Kidney_1cell_568.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[569] Kidney_1cell_569.htrms.PG.Quantity,Proximal straight tubule,kidney768
[570] Kidney_1cell_570.htrms.PG.Quantity,Proximal straight tubule,kidney768
[571] Kidney_1cell_571.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[573] Kidney_1cell_573.htrms.PG.Quantity,CNT,kidney768
[574] Kidney_1cell_574.htrms.PG.Quantity,CNT,kidney768
[575] Kidney_1cell_575.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[576] Kidney_1cell_576.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[578] Kidney_1cell_578.htrms.PG.Quantity,Proximal straight tubule,kidney768
[579] Kidney_1cell_579.htrms.PG.Quantity,Proximal straight tubule,kidney768
[580] Kidney_1cell_580.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[581] Kidney_1cell_581.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[582] Kidney_1cell_582.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[583] Kidney_1cell_583.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[584] Kidney_1cell_584.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[585] Kidney_1cell_585.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[587] Kidney_1cell_587.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[588] Kidney_1cell_588.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[590] Kidney_1cell_590.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[591] Kidney_1cell_591.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[592] Kidney_1cell_592.htrms.PG.Quantity,CNT,kidney768
[593] Kidney_1cell_593.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[594] Kidney_1cell_594.htrms.PG.Quantity,Unknown,kidney768
[595] Kidney_1cell_595.htrms.PG.Quantity,DCT2,kidney768
[596] Kidney_1cell_596.htrms.PG.Quantity,CNT,kidney768
[597] Kidney_1cell_597.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[598] Kidney_1cell_598.htrms.PG.Quantity,Proximal straight tubule,kidney768
[599] Kidney_1cell_599.htrms.PG.Quantity,Proximal straight tubule,kidney768
[600] Kidney_1cell_600.htrms.PG.Quantity,DCT2,kidney768
[601] Kidney_1cell_601.htrms.PG.Quantity,Proximal straight tubule,kidney768
[602] Kidney_1cell_602.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[605] Kidney_1cell_605.htrms.PG.Quantity,Proximal straight tubule,kidney768
[606] Kidney_1cell_606.htrms.PG.Quantity,Proximal straight tubule,kidney768
[607] Kidney_1cell_607.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[608] Kidney_1cell_608.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[609] Kidney_1cell_609.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[610] Kidney_1cell_610.htrms.PG.Quantity,Proximal straight tubule,kidney768
[611] Kidney_1cell_611.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[612] Kidney_1cell_612.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[613] Kidney_1cell_613.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[614] Kidney_1cell_614.htrms.PG.Quantity,CNT,kidney768
[615] Kidney_1cell_615.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[616] Kidney_1cell_616.htrms.PG.Quantity,Descending vasa recta,kidney768
[618] Kidney_1cell_618.htrms.PG.Quantity,Proximal straight tubule,kidney768
[619] Kidney_1cell_619.htrms.PG.Quantity,DCT2,kidney768
[620] Kidney_1cell_620.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[621] Kidney_1cell_621.htrms.PG.Quantity,Proximal straight tubule,kidney768
[622] Kidney_1cell_622.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[623] Kidney_1cell_623.htrms.PG.Quantity,CNT,kidney768
[624] Kidney_1cell_624.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[625] Kidney_1cell_625.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[626] Kidney_1cell_626.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[627] Kidney_1cell_627.htrms.PG.Quantity,Proximal straight tubule,kidney768
[628] Kidney_1cell_628.htrms.PG.Quantity,Proximal straight tubule,kidney768
[629] Kidney_1cell_629.htrms.PG.Quantity,Descending vasa recta,kidney768
[630] Kidney_1cell_630.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[631] Kidney_1cell_631.htrms.PG.Quantity,Proximal straight tubule,kidney768
[632] Kidney_1cell_632.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[633] Kidney_1cell_633.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[634] Kidney_1cell_634.htrms.PG.Quantity,Proximal straight tubule,kidney768
[635] Kidney_1cell_635.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[636] Kidney_1cell_636.htrms.PG.Quantity,Proximal straight tubule,kidney768
[638] Kidney_1cell_638.htrms.PG.Quantity,Descending vasa recta,kidney768
[639] Kidney_1cell_639.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[640] Kidney_1cell_640.htrms.PG.Quantity,Descending vasa recta,kidney768
[641] Kidney_1cell_641.htrms.PG.Quantity,Descending vasa recta,kidney768
[642] Kidney_1cell_642.htrms.PG.Quantity,Descending vasa recta,kidney768
[643] Kidney_1cell_643.htrms.PG.Quantity,Descending vasa recta,kidney768
[644] Kidney_1cell_644.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[645] Kidney_1cell_645.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[646] Kidney_1cell_646.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[647] Kidney_1cell_647.htrms.PG.Quantity,CNT,kidney768
[648] Kidney_1cell_648.htrms.PG.Quantity,Macula densa,kidney768
[649] Kidney_1cell_649.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[650] Kidney_1cell_650.htrms.PG.Quantity,CNT,kidney768
[651] Kidney_1cell_651.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[652] Kidney_1cell_652.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[653] Kidney_1cell_653.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[654] Kidney_1cell_654.htrms.PG.Quantity,Macula densa,kidney768
[655] Kidney_1cell_655.htrms.PG.Quantity,CNT,kidney768
[656] Kidney_1cell_656.htrms.PG.Quantity,Proximal straight tubule,kidney768
[657] Kidney_1cell_657.htrms.PG.Quantity,Descending vasa recta,kidney768
[658] Kidney_1cell_658.htrms.PG.Quantity,Proximal straight tubule,kidney768
[659] Kidney_1cell_659.htrms.PG.Quantity,Macula densa,kidney768
[660] Kidney_1cell_660.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[661] Kidney_1cell_661.htrms.PG.Quantity,Proximal straight tubule,kidney768
[663] Kidney_1cell_663.htrms.PG.Quantity,CNT,kidney768
[664] Kidney_1cell_664.htrms.PG.Quantity,DCT2,kidney768
[665] Kidney_1cell_665.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[666] Kidney_1cell_666.htrms.PG.Quantity,Proximal straight tubule,kidney768
[667] Kidney_1cell_667.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[668] Kidney_1cell_668.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[669] Kidney_1cell_669.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[670] Kidney_1cell_670.htrms.PG.Quantity,Proximal straight tubule,kidney768
[671] Kidney_1cell_671.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[672] Kidney_1cell_672.htrms.PG.Quantity,CNT,kidney768
[673] Kidney_1cell_673.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[674] Kidney_1cell_674.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[675] Kidney_1cell_675.htrms.PG.Quantity,Proximal straight tubule,kidney768
[676] Kidney_1cell_676.htrms.PG.Quantity,Unknown,kidney768
[677] Kidney_1cell_677.htrms.PG.Quantity,CNT,kidney768
[678] Kidney_1cell_678.htrms.PG.Quantity,Proximal straight tubule,kidney768
[679] Kidney_1cell_679.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[680] Kidney_1cell_680.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[681] Kidney_1cell_681.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[682] Kidney_1cell_682.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[683] Kidney_1cell_683.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[684] Kidney_1cell_684.htrms.PG.Quantity,Macula densa,kidney768
[685] Kidney_1cell_685.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[686] Kidney_1cell_686.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[687] Kidney_1cell_687.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[688] Kidney_1cell_688.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[689] Kidney_1cell_689.htrms.PG.Quantity,Macula densa,kidney768
[690] Kidney_1cell_690.htrms.PG.Quantity,CNT,kidney768
[691] Kidney_1cell_691.htrms.PG.Quantity,Proximal straight tubule,kidney768
[692] Kidney_1cell_692.htrms.PG.Quantity,Proximal straight tubule,kidney768
[693] Kidney_1cell_693.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[696] Kidney_1cell_696.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[697] Kidney_1cell_697.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[698] Kidney_1cell_698.htrms.PG.Quantity,Descending vasa recta,kidney768
[699] Kidney_1cell_699.htrms.PG.Quantity,Proximal straight tubule,kidney768
[700] Kidney_1cell_700.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[701] Kidney_1cell_701.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[702] Kidney_1cell_702.htrms.PG.Quantity,Proximal straight tubule,kidney768
[703] Kidney_1cell_703.htrms.PG.Quantity,Proximal straight tubule,kidney768
[704] Kidney_1cell_704.htrms.PG.Quantity,DCT2,kidney768
[705] Kidney_1cell_705.htrms.PG.Quantity,Proximal straight tubule,kidney768
[706] Kidney_1cell_706.htrms.PG.Quantity,Proximal straight tubule,kidney768
[707] Kidney_1cell_707.htrms.PG.Quantity,Proximal straight tubule,kidney768
[708] Kidney_1cell_708.htrms.PG.Quantity,Proximal straight tubule,kidney768
[709] Kidney_1cell_709.htrms.PG.Quantity,Proximal straight tubule,kidney768
[710] Kidney_1cell_710.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[711] Kidney_1cell_711.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[712] Kidney_1cell_712.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[714] Kidney_1cell_714.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[715] Kidney_1cell_715.htrms.PG.Quantity,Proximal straight tubule,kidney768
[716] Kidney_1cell_716.htrms.PG.Quantity,Proximal straight tubule,kidney768
[717] Kidney_1cell_717.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[718] Kidney_1cell_718.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[719] Kidney_1cell_719.htrms.PG.Quantity,Proximal straight tubule,kidney768
[720] Kidney_1cell_720.htrms.PG.Quantity,Macula densa,kidney768
[721] Kidney_1cell_721.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[722] Kidney_1cell_722.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[723] Kidney_1cell_723.htrms.PG.Quantity,Proximal straight tubule,kidney768
[725] Kidney_1cell_725.htrms.PG.Quantity,CNT,kidney768
[726] Kidney_1cell_726.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
